track_name,artist_name,album_name,release_date,length,popularity,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
Steak Knives,billy woods,Hiding Places,2019-03-29,88520,30,00kefDYIVWAZyKvl1rrqVy,0.0491,0.552,0.784,0.0,4,0.511,-8.521,1,0.366,135.233,4
Checkpoints,billy woods,Hiding Places,2019-03-29,193066,33,7d1hHm5w6uHTrUHaGjAUdh,0.205,0.413,0.67,0.0,2,0.506,-7.662,1,0.0882,145.509,4
Spider Hole,billy woods,Hiding Places,2019-03-29,220506,34,6w7RmQJ9jPcR4OJY6Ue5O2,0.662,0.647,0.499,6.92e-05,1,0.105,-9.122,1,0.104,104.051,4
Houthi,billy woods,Hiding Places,2019-03-29,164573,32,2bW2I5kJgTfYWDPPla4BGo,0.514,0.688,0.49,0.0,10,0.12,-9.36,0,0.412,128.538,4
A Day in a Week in a Year,billy woods,Hiding Places,2019-03-29,304520,29,6BCHHTTLKvHkCANNBnsgNH,0.749,0.539,0.412,0.000126,10,0.107,-12.701,1,0.517,146.164,4
Bedtime,billy woods,Hiding Places,2019-03-29,135520,26,0DL1hyiniSyjKOFbsleFTU,0.301,0.517,0.496,0.0,10,0.177,-9.929,0,0.388,76.517,3
Crawlspace,billy woods,Hiding Places,2019-03-29,225866,27,0qlwq3gU6PpcyGDjON4VA2,0.123,0.775,0.761,0.0,11,0.123,-8.15,0,0.324,76.965,4
Speak Gently,billy woods,Hiding Places,2019-03-29,293506,25,22fyNvszOwBOLNbqfn5ckU,0.341,0.445,0.43,0.000263,1,0.389,-11.921,1,0.223,95.999,4
Toothy,billy woods,Hiding Places,2019-03-29,137720,25,0q75TRFX7mmxZ1Ah9YC67w,0.0525,0.677,0.388,0.0,1,0.3,-11.004,1,0.54,119.831,4
Bigfakelaugh,billy woods,Hiding Places,2019-03-29,228666,26,5rggw2slLciZaQN1j8RtOs,0.306,0.571,0.694,8.82e-06,1,0.117,-10.399,1,0.492,103.279,4
Red Dust,billy woods,Hiding Places,2019-03-29,204546,36,7iy8z5Qemm66LRLVQAP52K,0.522,0.572,0.513,0.0,8,0.112,-10.364,1,0.375,61.988,4
The Station,Oneohtrix Point Never,Age Of,2018-06-01,259816,11,5M1QuhhIwEqNXeNooLndH7,0.512,0.563,0.389,0.00935,9,0.113,-10.35,0,0.0285,100.023,4
